Platform,Publisher,Title,Series,Rating,Genre,Release Date,Developers,Players,Barcode,Item ID, Collection/Wishlist
Sony PlayStation 4 (PS4),Bethesda,The Evil Within,The Evil Within,M,Horror,2014-10-14,Tango Gameworks,1,093155118553,1290487,Collection
n64,Acclaim Entertainment,Extreme-G 2,Extreme-G,E,Racing,1998-11-17,Probe Entertainment,1-4,021481641674,1331471,Collection
n64,Nintendo,F-1 World Grand Prix,F-1 World Grand Prix,E,Racing,1998-07-27,Paradigm Entertainment,1-2,045496360047,1565385,Collection
gba,Nintendo,F-Zero,F-Zero,E,Racing,2001-06-11,Nd Cube,1-4,4902370505238,965482,Collection
ps3,Vivendi Games,F.E.A.R.: First Encounter Assault Recon,F.E.A.R.,M,First Person Shooter,2007-04-24,Monolith Productions,1-16,020626725866,1066804,Collection
ps1,EA Sports,FIFA Soccer 2002,FIFA,E,Sports,2001-10-31,EA Canada,1-8,014633143300,1350741,Collection
xbox360,EA Games,FIFA 07,,E,Sports,2006-09-25,EA Sports,1-4,014633152517,1220134,Collection
xbox360,Ea Sports,FIFA 08,,E,Music,2007-10-09,Electronic Arts/EA Games,4,014633155518,962657,Collection
xbox360,Ea Sports,FIFA 09,,3+,Sports,2008-10-02,Electronic Arts/EA Games,2,014633191820,920321,Collection
xbox360,Ea Sports,FIFA 10,,E,Sports,2009-10-20,EA Canada,4,014633157116,1334710,Collection
xbox360,Ea Sports,FIFA 14,,E,Sports,1969-12-31,,4,014633730418,1480272,Collection
xboxone,EA Sports,FIFA 15,FIFA,E,Sports,2014-09-30,EA Canada,2,014633367799,1340344,Collection
xboxone,EA Sports,FIFA 16,FIFA,E,Sports,2015-09-22,EA Vancouver,1-4,014633369281,1428815,Collection
xboxone,EA Sports,FIFA 17,FIFA,E,Sports,2016-09-27,EA Canada,1-4,014633368727,1492144,Collection
xboxone,EA Sports,FIFA 18,FIFA,E,Sports,2017-09-26,EA Canada,1-4,014633735260,1511327,Collection
xboxone,EA Sports,FIFA 19,FIFA,E,Sports,2018-09-28,EA Vancouver; EA Romania,1-4,,1717456,Collection
xboxone,EA Sports,FIFA 20,FIFA,E,Sports,2019-09-27,EA Vancouver; EA Romania,4,014633738650,1717629,Collection
ps1,EA Sports,FIFA 2000,FIFA,E,Sports,1999-11-01,EA Canada,1-8,014633140262,1350732,Collection
ps1,EA Sports,FIFA 2001,FIFA,E,Sports,2000-11-30,EA Canada,1-8,014633142051,1190054,Collection
xbox,Electronic Arts/EA Games,FIFA 2004,,E,Sports,1969-12-31,EA Sports,4,014633146677,1143351,Collection
xbox360,Electronic Arts/EA Games,FIFA 2011,,E,"Simulation, Sports",2000-12-31,EA Sports,4,014633193220,1520049,Collection
seriesx,EA Sports,FIFA 21 [Next Level Edition],FIFA,E,Sports,2020-12-04,EA Vancouver; EA Romania,1-4,014633380231,1725448,Collection
seriesx,EA Sports,FIFA 23,FIFA,E,Sports,2022-09-30,"EA Vancouver, EA Romania","1-4, 2-22 (Online)",014633379334,1867641,Collection
ps1,EA Sports,FIFA 99,FIFA,E,Sports,1998-11-25,EA Canada,1-8,014633079265,993824,Collection
genesis,EA Sports,FIFA International Soccer,FIFA,Not Rated,Sports,1993-12-15,Extended Play Productions,1-4,014633072556,933715,Collection
xbox,Ea Sports,FIFA Soccer 06,,E,Sports,1969-12-31,EA Sports,1-4,014633149586,966599,Collection
xbox360,EA,FIFA Soccer 13,,E,Sports,2000-12-31,Electronic Arts/EA Games,4,014633197587,1333027,Collection
xbox360,"EA Sports, Electronic Arts",FIFA Soccer 2003,,,Sports,1969-12-31,,,014633145809,1117006,Collection
xbox,Ea Sports,FIFA Soccer 2005,,E,Sports,1973-12-15,EA Canada,1-4,014633148121,1261950,Collection
xbox360,Electronic Arts/EA Games,FIFA soccer 12,,E,Sports,2027-09-11,EA Canada,4,014633196368,1475725,Collection
xbox,Microsoft Game Studios,Fable,,M,"Action, Fantasy, Role Playing Game",2005-10-18,Lionhead Studios,1,805529781146,901687,Collection
xbox360,Microsoft Game Studios,Fable II,,M,"Adventure, Fantasy, Hack n’ Slash, Role Playing Game",2008-10-20,Lionhead Studios,2,882224974585,1344471,Collection
xbox360,Microsoft Game Studios,Fable III,Fable,M,Role Playing Game,2011-05-17,Lionhead Studios,1,885370164237,1087406,Collection
Sony PlayStation 4 (PS4),THQ Nordic,Fade to Silence,Fade to Silence,M,"Action, Adventure, Role Playing Game",2019-04-30,Black Forest Games,1,811994021410,1714213,Collection
xbox,THQ,"Fairly OddParents:
Breakin’ Da Rules, The",,E,Adventure,1969-12-31,THQ,1,752919520246,1537520,Collection
xboxone,Bethesda Softworks,Fallout 4,Fallout,M,"Action, Role Playing Game",2015-11-10,Bethesda Game Studios,1,093155170674,1305248,Collection
ps3,Ubisoft,Far Cry 2,Far Cry,M,"Action, Adventure, First Person Shooter, Sandbox",2008-10-21,Ubisoft Montreal,1,008888344087,922660,Collection
ps3,Ubisoft,Far Cry 3,Far Cry,M,First Person Shooter,2012-12-04,Ubisoft Montreal,1-4,008888346319,1200198,Collection
Sony PlayStation 4 (PS4),Ubisoft,Far Cry 4,Far Cry,M,First Person Shooter,2014-11-18,"Havok, Gameware",1-2,887256300777,1310707,Collection
xboxone,Ubisoft,Far Cry 5,Far Cry,M,First Person Shooter,2018-03-27,Ubisoft Montreal; Ubisoft Toronto,1,887256028916,1534173,Collection
Sony PlayStation 4 (PS4),Ubisoft,Far Cry 5,Far Cry,M,Action,2018-03-27,Ubisoft,1,887256028848,1534171,Collection
Sony PlayStation 5 (PS5),Ubisoft,Far Cry 6,Far Cry,M,"First Person Shooter, Role Playing Game, Stealth",2021-10-07,Ubisoft,1,887256110277,1737899,Collection
xbox360,Ubisoft,Far Cry Instincts - Predator,Far Cry,M,First Person Shooter,2006-03-28,Ubisoft Montreal,1,008888521617,939233,Collection
xbox,Ubisoft,Far Cry Instincts: Evolution,Far Cry,M,First Person Shooter,2006-03-28,Ubisoft,4,008888513049,1434816,Collection
Sony PlayStation 4 (PS4),2017 Ubisoft,Far Cry New Dawn,Far Cry,PG,Action,2019-02-15,Crytek/Ubisoft Montreal,1-2,3307216112518,1761519,Collection
Sony PlayStation 4 (PS4),Ubisoft,Far Cry: Primal,Far Cry,M,"Action, Adventure",2016-02-23,Ubisoft Montreal,1,887256015930,1579849,Collection
wii,Ubisoft,Far Cry: Vengeance,Far Cry,M,First-Person Shooter,2006-12-12,Ubisoft Montreal,1-2,008888171614,956539,Collection
Sony PlayStation 4 (PS4),Focus Home Interactive,Farming Simulator 15,Farming Simulator,E,Simulation,2015-05-19,Giants Software,1-6,854952003134,1440358,Collection
xbox360,505 Games,Field & Stream,,,,2010-06-22,,,812872013053,1572904,Collection
seriesx,EA Sports,FIFA 22 Series X,FIFA,E,Sports,2021-10-01,EA Vancouver; EA Romania,1-4,014633742527,1847977,Collection
genesis,EA Sports,FIFA Soccer 95,FIFA,Not Rated,Sports,1994-11-10,Extended Play Productions,1-4,nocode20180629210728651,1580554,Collection
genesis,EA Sports,FIFA Soccer 96,FIFA,K-A,Sports,1995-11-01,Extended Play Productions,1-4,,1894612,Collection
gba,THQ,Disney/Pixar Finding Nemo,Finding Nemo,E,"Action, Platform",2003-05-12,Vicarious Visions,1,nocode20131013180641434,904914,Collection
ps2,Empire Interactive,FlatOut,FlatOut,T,Racing,2005-07-19,Bugbear Entertainment,4,020626723411,977822,Collection
ps2,Konami,FlatOut 2,FlatOut,T,"Action, Racing",2006-08-01,Bugbear Entertainment,1-8,020626725200,1013219,Collection
Sony PlayStation 4 (PS4),Strategy First,Flatout 4: Total Insanity,FlatOut,T,Racing,2017-03-28,KT racing,1-8,812303010996,1524254,Collection
ps2,"Empire Interactive, 2K Games",Ford Racing 3,Ford Racing,E,Racing,2005-03-22,Razorworks,1-2,744788017712,1027029,Collection
ps2,2K Games,Ford vs. Chevy,Ford vs. Chevy,E,Racing,2005-11-09,Eutechnyx,1-2,710425277085,962851,Collection
xboxone,Microsoft Studios,Forza Motorsport 6,Forza Motorsport,E,"Racing, Simulation",2015-09-15,Turn 10 Studios,1-24,nocode20150905231817566,1446850,Collection
xbox360,Microsoft Studios,Forza Horizon,,T,Racing,2000-12-31,Turn 10,8,885370404524,1236406,Collection
xboxone,Microsoft Studios,Forza Horizon 3: Ultimate Edition,Forza Horizon,E,Racing,2016-09-27,Playground Games,1 Local 2-12 Online Players,889842148251,1492635,Collection
xboxone,Microsoft Studios,Forza Horizon 4,Forza Horizon,E,"Racing, Simulation",2018-10-02,Playground Games,1-12,889842392371,1713137,Collection
xbox,Microsoft Game Studios,Forza Motorsport,,E,Racing,2005-05-03,Microsoft,1-4,nocode20170217200745844,951566,Collection
xbox360,Microsoft Game Studios,Forza Motorsport 2,Forza Motorsport,E,Racing,2008-06-07,Turn 10 Studios,1-2,882224318945,894994,Collection
xbox360,Microsoft Game Studios,Forza Motorsport 3,,,Racing,2009-10-27,Turn10 Studios,2,777721806449,901463,Collection
xbox360,Microsoft,Forza Motorsport 4,,E,Racing,2000-12-31,Turn 10 Studios,12,885370307498,1177239,Collection
xboxone,Microsoft Studios,Forza Motorsport 5: GOTY,Forza Motorsport,E,Racing,2014-07-22,Turn 10 Studios,1-16,885370801637,1267611,Collection
ps2,Warner Bros. Interactive Entertainment,Friends: The One with All the Trivia,Friends,T,Trivia,2005-12-12,Artech,4,012569742772,1565219,Collection
gameboy,Majesco Sales,Frogger,Frogger,E,"Action, Arcade",1998-12-31,Morning Star Multimedia,1,5026555040372,947718,Collection
3ds,GameMill Entertainment,Frozen: Olaf’s Quest,Frozen,E,"Action, Platform",2013-11-12,1st Playable Productions,1,834656090128,1335639,Collection
xbox,THQ,Full Spectrum Warrior,,M,"Real Time Strategy, Simulation",2004-06-25,Pandemic Studios,1-2,752919520239,921618,Collection
ps3,Codemasters,GRID 2,GRID,E,Racing,2013-05-28,Codemasters,1-12,883929287383,1255253,Collection
Sony PlayStation 4 (PS4),Codemasters,GRID: Ultimate Edition,GRID,E,"Racing, Simulation",2019-10-08,Codemasters,1-16,816819016978,1803906,Collection
ps2,Activision,Gun,Gun,M,Third Person Shooter,2005-11-16,Neversoft,1,047875809611,910374,Collection
xboxone,Xbox Game Studios,Gears 5,Gears of War,M,Third Person Shooter,2019-09-10,The Coalition,1-2,889842519099,1714585,Collection
xbox360,Microsoft,Gears Of War,Gears of War,M,"Action, Adventure, Fantasy, Fighting, Third Person Shooter, Horror",2006-11-07,Epic Games,2,07177224,890945,Collection
xboxone,Microsoft Studios,Gears Of War 4,Gears of War,M,"Action, Adult, Adventure, Third Person Shooter",2016-10-11,The Coalition,1-2,889842118650,1371235,Collection
xbox360,Microsoft Game Studios,Gears of War 2,Gears Of War,M,Third Person Shooter,2008-11-07,Epic Games,2,882224691635,910544,Collection
xbox360,Microsoft Game Studios,Gears of War 3,Gears of War,M,Third Person Shooter,2011-09-20,Epic Games,1-4,885370307986,1101448,Collection
xbox360,Microsoft Studios,Gears of War: Judgement,Gears Of War,M,Third Person Shooter,2013-03-19,Epic Games,4,885370429794,1363517,Collection
ps2,Sony Computer Entertainment,The Getaway,The Getaway,M,"Action, Adventure, Sandbox, Third Person Shooter",2003-01-21,Sony Computer Entertainment,1,711719713326,1144243,Collection
xbox,Ubisoft,Ghost Recon 2,Tom Clancy’s Ghost Recon,T,Third Person Shooter,2004-11-16,Red Storm Entertainment,4,008888511649,1480641,Collection
ps2,Ubisoft,Tom Clancy's Ghost Recon Advanced Warfighter,Tom Clancy's Ghost Recon,T,Tactical Shooter,2006-03-28,Ubisoft Shanghai,1-2,008888392804,973274,Collection
ps2,Ubisoft,Tom Clancy's Ghost Recon: Jungle Storm,Tom Clancy's Ghost Recon,T,Tactical Shooter,2004-03-23,Ubisoft,1-2,3307210152718,1232994,Collection
xboxone,Activision,Ghostbusters,Ghostbusters,E10+,"Action, Platform",2016-07-12,FireForge Games,4,047875771499,915261,Collection
xboxone,Coffee Stain Publishing,Goat Simulator 3,Goat Simulator,T,"Action, Adventure, Simulation",2022-11-17,Coffee Stain Malmö,1-4,810086921096,1878065,Collection
ps3,Sony Computer Entertainment,God of War: Chains of Olympus,God of War,M,"Action, Adventure, Hack n’ Slash",2008-03-04,Ready at Dawn,1,711719254614,986878,Collection
Sony PlayStation 5 (PS5),Sony Interactive Entertainment,God Of War Ragnarok,God Of War,M,"Action, Adventure",2022-11-09,Santa Monica Studios,1,711719546658,1881999,Collection
Sony PlayStation 4 (PS4),Sony Interactive Entertainment,God of War,God of War,M,"Action, Adventure",2018-04-20,Santa Monica Studio,1,711719506133,1224894,Collection
ps3,Sony Computer Entertainment,God of War,God of War,M,Action,2005-03-22,Sony Santa Monica,1,1171973992,893127,Collection
ps3,Sony Computer Entertainment,God of War II,God of War,M,Action,2007-03-13,SIE Santa Monica Studio,1,nocode20141226163051634,909909,Collection
ps3,Sony Computer Entertainment,God of War: Ghost of Sparta,God of War,M,"Action, Adventure, Hack n’ Slash",2010-11-02,Ready at Dawn,1,nocode20140904212052664,1211154,Collection
ps3,Sony Computer Entertainment,God of War III,God of War,M,"Action, Adventure, Fantasy, Hack n’ Slash",2010-03-16,Santa Monica Studio,1,711719811121,892791,Collection
ps3,Sony Computer Entertainment,God of War: Ascension,God of War,M,"Action, Adventure, Hack n’ Slash",2013-03-12,Santa Monica Studio,1,711719982326,1227947,Collection
switch,GameMill Entertainment,Goosebumps: The Game,Goosebumps,E10+,"Adventure, Horror",2015-10-13,WayForward Technologies,1,856131008022,1708594,Collection
3ds,GameMill Entertainment,Goosebumps: The Game,Goosebumps,E10+,"Adventure, Horror",2015-10-13,WayForward Technologies,1,5016488128834,1491189,Collection
seriesx,Warner Bros. Games,Gotham Knights,Batman,T,"Action, Adventure",2022-10-21,WB Games Montréal,1-2,883929793655,1869267,Collection
ps1,Sony Computer Entertainment,Gran Turismo,Gran Turismo,E,Racing,1998-05-12,Polyphony Digital,1-2,711719419426,921855,Collection
ps1,Sony Computer Entertainment,Gran Turismo 2,Gran Turismo,E,Racing,1999-12-17,Polyphony Digital,1-2,711719445524,1580745,Collection
ps2,Sony Computer Entertainment,Gran Turismo 3 A-Spec,Gran Turismo,E,Racing,2002-05-13,Polyphony Digital,2,711719710226,947176,Collection
ps2,Sony Computer Entertainment,Gran Turismo 4,Gran Turismo,E,"Racing, Simulation",2005-02-22,Polyphony Digital,2,711719732822,946036,Collection
ps3,Sony Computer Entertainment,Gran Turismo 5,Gran Turismo,E,Racing,2010-11-24,Polyphony Digital,1-16,711719811428,922078,Collection
ps3,Sony Computer Entertainment,Gran Turismo 5: Prologue,Gran Turismo,E,Racing,2008-04-15,Polyphony Digital,1-16,711719815822,1165095,Collection
ps3,Sony Computer Entertainment,Gran Turismo 6,Gran Turismo,E,Racing,2013-12-06,Polyphony Digital,1-16,711719982968,1288108,Collection
Sony PlayStation 5 (PS5),Sony Interactive Entertainment,Gran Turismo 7,Gran Turismo,E,Racing,2022-03-04,Polyphony Digital,1-2,711719551768,1836933,Collection
Sony PlayStation 4 (PS4),Sony Computer Entertainment,Gran Turismo Sport,Gran Turismo,E,Racing,2017-10-17,Polyphony Digital,1-2,711719534259,1719066,Collection
ps1,Take-Two Interactive,Grand Theft Auto,Grand Theft Auto,M,"Action, Adventure",1998-06-30,DMA Design,1,5026555190497,925874,Collection
ps1,Rockstar Games,Grand Theft Auto 2,Grand Theft Auto,T,"Action, Adventure",1999-10-25,DMA Design,1,710425230370,974973,Collection
ps2,Rockstar Games,Grand Theft Auto III,Grand Theft Auto,M,"Action, Adventure, Fantasy, Sandbox, Third Person Shooter",2001-10-22,DMA Design,1,710425270796,1062818,Collection
ps3,Rockstar Games,Grand Theft Auto IV,Grand Theft Auto,M,"Action, Third Person Shooter",2008-04-29,Rockstar North,1-16,710425370113,892273,Collection
ps3,Rockstar Games,Grand Theft Auto V,Grand Theft Auto,M,"Sandbox, Third Person Shooter",2013-09-17,Rockstar North,1-16,710425471254,1188914,Collection
Sony PlayStation 4 (PS4),Rockstar Games,Grand Theft Auto V,Grand Theft Auto,M,"Sandbox, Third Person Shooter",2014-11-18,Rockstar North,1,710425474521,1188919,Collection
psp,Rockstar Games,Grand Theft Auto: Vice City Stories,Grand Theft Auto,M,"Action, Adventure",2006-10-31,Rockstar Leeds,1-6,710425279768,1235733,Collection
ps2,Rockstar Games,Grand Theft Auto: San Andreas,Grand Theft Auto,M,"Action, Sandbox",2004-10-26,Rockstar North,2,110425874107,900571,Collection
ps2,Rockstar Games,Grand Theft Auto: Vice City,Grand Theft Auto,M,"Action, Adult, Adventure, Sandbox, Third Person Shooter",2002-10-27,Rockstar Games,1,710425271458,940195,Collection
xbox,Ubisoft,Greg Hastings Tournament Paintball Maxd,,E,"First Person Shooter, Sports",1969-12-31,WXP Games,4,047875751255,1345723,Collection
xbox360,Codemasters,Grid,,E,Racing,2008-06-13,Codemasters,12,767649402106,1200430,Collection
Sony PlayStation 5 (PS5),Electronic Arts,Grid Legends,Grid,E10+,Racing,2022-02-25,Codemasters,1 Player or 2-22 Network,014633381979,1836944,Collection
Sony PlayStation 5 (PS5),Square Enix,Guardians Of The Galaxy,Marvel's Guardians of the Galaxy,T,"Action, Adventure",2021-10-26,Eidos Montreal,1,662248925417,1737927,Collection
ps2,RedOctane,Guitar Hero,Guitar Hero,T,Music,2005-11-08,Harmonix Music Systems,2,894312000137,952024,Collection
ps2,Activision / RedOctane,Guitar Hero III: Legends of Rock,Guitar Hero,T,Music,2007-10-28,"Neversoft Entertainment, Budcat Creations",1-2,047875951556,938503,Collection
ps2,Activision,Guitar Hero 5,Guitar Hero,T,"Music, Simulation",2009-09-01,Budcat Creations,4,047875958838,1103705,Collection
ps2,RedOctane,Guitar Hero II,Guitar Hero,T,Music,2006-11-07,Harmonix Music Systems,2,04789574,1565551,Collection
